"104.43.193.48","ip-dst"
"292aaae641e8b3343393bbfff711df5d336148fb4ebb86e94f7fe1972389392f","sha256"
"39d419e5e28808396ca54743a5869136a6e2674c1916dc81a71d00ca51b9b86c","sha256"
"3ab4d8e5149cae6c5f93984dbd411a94","md5"
"5d0c908497b27de7918ac9e938a939ca63505dda638cc5fede5a6e067a4e325f","sha256"
"707f0236ab6156298800eaf376f5ef8e544da887","sha1"
"75072b530df57406f1fe44e70814fbc9","md5"
"77638d8c08d28868a4eea142f8c090a15e946709","sha1"
"e11fb3746966d0c64edca35dc739eeb909f3e65a","sha1"
"fe95eabe79e584cf5cfcf10b17dc2f0c","md5"
"https://www.google.com/","url"
"watson.microsoft.com","domain|ip"
"www.google.com","domain|ip"
